question,answer,question_type
Bir su tankı 4000 galon kapasiteye sahiptir. Mack depoya bir boru bağlayarak depoyu saatte 10 galon su ile doldurur. Tankın kapasitesinin 3/4'üne kadar dolması ne kadar sürer?,"Tankın kapasitesinin 3/4'ü 3000 galon eder.

3000 galon / 10 galon/saat = 300 saat

Sonuç olarak, tankın kapasitesinin 3/4'üne kadar dolması 300 saat sürer.","{""type"": ""problem çözme"", ""explanation"": ""Bu soru, verilen bilgileri kullanarak bir problemi çözmeyi gerektiren bir senaryodur. Kapasitenin 3/4'ü hesaplanır ve daha sonra dolum hızı kullanılarak sürenin bulunması istenir. Matematiksel işlemlerle çözülmesi gereken bir problem çözme sorusudur.""}"
Bir hanede dört üye bulunmaktadır. Her üye kahvaltıda 3 dilim ve ara öğünlerde 2 dilim ekmek tüketmektedir. Bir somun ekmekte 12 dilim vardır. Bu ailede beş somun ekmek kaç gün yetecektir?,"Öncelikle, bir hanedeki toplam ekmek tüketimini hesaplayalım:

- Her birey, kahvaltıda 3 dilim ekmek, ara öğünlerde ise 2 dilim ekmek tüketiyor.
- Bu, her gün toplam 3 + 2 = 5 dilim ekmek eder.

Dört kişi için günlük toplam ekmek tüketimi:
- 4 kişi * 5 dilim/kişi = 20 dilim/gün

Şimdi, beş somun ekmeğin toplam kaç dilim ekmek olduğunu hesaplayalım:
- 5 somun * 12 dilim/somun = 60 dilim

Bu ekmek miktarı kaç gün yetecektir:
- 60 dilim / 20 dilim/gün = 3 gün

Sonuç: Bu ailede beş somun ekmek 3 gün yetecektir.","{""type"": ""problem solving"", ""explanation"": ""Bu soru, verilen bilgiler doğrultusunda bir problemin çözülmesini gerektirir. Verilen bilgilere göre günlük toplam dilim ihtiyacı hesaplanmalı ve bu ihtiyaçla mevcut ekmek stoğunun kaç gün yetebileceği bulunmalıdır. Dolayısıyla matematiksel işlem ve mantık yürütme gerektiren bir problem çözme sorusudur.""}"
"3 km yapmak için Ben 2 saat yürüdü. Aynı hızla devam ederse, 12 km'lik yolu kat etmesi dakika cinsinden ne kadar zaman alır?","Ben'in 3 km'yi 2 saatte yürüdüğünü biliyoruz, bu da onun hızının 1.5 km/saat olduğunu gösterir.

12 km'yi bu hızla yürüdüğünde,
süre = 12 km / 1.5 km/saat = 8 saat.

8 saat ise 480 dakikaya eşittir.

Dolayısıyla, 12 km'lik yolu kat etmesi 480 dakika alır.","{""type"": ""Oran ve Orantı Problemi"", ""explanation"": ""Bu soru, bir mesafeyi kat etmek için gereken süreyi hesaplarken orantı ve birim çevirme kullanmayı gerektirdiği için oran ve orantı problemi olarak sınıflandırılabilir. Hız sabit kabul edilir ve verilen bilgiye göre hesaplamalar yapılır.""}"
"Carina her hafta bir önceki haftaya göre kavanoza 20 deniz kabuğu daha koymaktadır. Eğer bu hafta kavanozda 50 deniz kabuğu varsa, bir ay sonra kaç tane olacaktır?","Bu hafta kavanozda 50 deniz kabuğu var ve her hafta 20 deniz kabuğu ekleniyor. Bir ayda yaklaşık 4 hafta bulunduğuna göre:

1. Hafta: 50 deniz kabuğu
2. Hafta: 50 + 20 = 70 deniz kabuğu
3. Hafta: 70 + 20 = 90 deniz kabuğu
4. Hafta: 90 + 20 = 110 deniz kabuğu

Bir ay sonra, kavanozda 110 deniz kabuğu olacaktır.","{""type"": ""aritmetik dizi"", ""explanation"": ""Bu soru, düzenli aralıklarla sabit bir artışın olduğu bir durum içermektedir, bu da aritmetik dizi özelliklerine sahiptir. Her hafta deniz kabuğu sayısına sabit bir miktar (20) eklenmektedir. Bu nedenle, deniz kabuğu sayısının zamanla nasıl değişeceğini analiz etmek için aritmetik dizi kavramını kullanırız.""}"
"Belirli bir gün Rose'un öğretmeni kayıt defterini okudu ve o gün sınıfta erkeklerin iki katı kadar kız olduğunu fark etti. Sınıfta 250 öğrenci vardır ve 140 kız öğrencinin tamamı sınıfta bulunmaktadır. Devamsızlık yapan tüm öğrenciler erkek ise, o gün kaç erkek devamsızlık yapmıştır?","Sınıfta toplam 250 öğrenci var ve 140 kız öğrenci bulunuyor. Erkek öğrencilerin sayısını bulmak için toplam öğrenci sayısından kızların sayısını çıkarabiliriz:

250 - 140 = 110 erkek öğrenci.

O gün sınıfta erkeklerin iki katı kadar kız olduğunu belirtildiğine göre, sınıftaki erkek öğrenci sayısına x diyelim. Kızların sayısı ise 2x olacaktır. Ayrıca, o gün sınıf mevcudu 140 kız öğrenciye eşittir ve bu kızlar devamsızlık yapmamıştır.

Bu durumda:

2x = 140
x = 70

Sınıfta 70 erkek öğrenci vardır, bu nedenle devamsızlık yapan erkek öğrenci sayısı:

110 - 70 = 40

O gün 40 erkek öğrenci devamsızlık yapmıştır.","{""type"": ""problem çözme"", ""explanation"": ""Bu soru, verilen toplam öğrenci sayısı, kız öğrenci sayısı ve sınıfta devamsızlık yapan öğrencilerle ilgili bilgileri kullanarak kaç erkek öğrencinin devamsızlık yaptığını bulmayı gerektirir. Problem çözme türünde bir matematik sorusudur çünkü belirli bir senaryo üzerinden matematiksel çıkarımlar yapılması istenmektedir.""}"
"Anna zencefilli kurabiye yapıyor. Bunlardan 6'sına kırmızı şapka, 9'una mavi çizme ve 3'üne hem kırmızı şapka hem de mavi çizme veriyor. Zencefilli kurabiye adamların yüzde kaçının kırmızı şapkası vardır?","Zencefilli kurabiye adamların toplam sayısı 6 (kırmızı şapka) + 9 (mavi çizme) - 3 (hem kırmızı şapka hem de mavi çizme) = 12'dir. Kırmızı şapkası olanların sayısı ise 6'dır. Yüzde hesabı yapmak için:

(6 / 12) * 100 = 50

Zencefilli kurabiye adamların yüzde 50'sinin kırmızı şapkası vardır.","{""type"": ""küme problemleri"", ""explanation"": ""Bu soru, kümelerin kesişimi konusu ile ilgilidir. Zencefilli kurabiyelerin bazıları kırmızı şapka, bazıları mavi çizme ve bazıları her iki aksesuarı da taşıyor. Kesişim ve tek tek kümelerdeki eleman sayıları verilerek toplam sayının hesaplanmasına dayanan bir problemdir.""}"
"Sınıf, öğretmenin getirdiği bir kavanozda kaç tane jelibon olduğunu tahmin etmek zorundadır. Öğretmen 4 öğrencinin tahmin yapmasına izin verir. İlki içinde 100 tane jelibon olduğunu düşünür. İkincisi bunun 8 katı olduğunu söyler. Üçüncüsü diğerinden 200 eksik tahmin eder. Dördüncü, ilk üç tahminin ortalamasını alır ve sonra buna 25 ekler. Dördüncü öğrenci kaç tane jelibon olduğunu tahmin etmiştir?","Dördüncü öğrenci, içinde 425 tane jelibon olduğunu tahmin etmiştir.","{""type"": ""problem çözme"", ""explanation"": ""Bu soru, verilen koşullara ve hesaplamalara dayanarak belirli bir sonuç bulmayı gerektiren matematiksel bir problem çözme sorusudur. Tahmin edilen miktarlar kullanılarak ortalamaların ve eklemelerin yapılması, çözümün bulunması için problemlerin adım adım hesaplamasını gerektirir.""}"
"Juan'ın öğle yemeğini ofisinden alıp geri dönmek için harcadığı zaman, bir kitabı okumak için harcadığı zamanın yarısıdır. Elinde 4000 sayfalık bir kitap varsa, ofisten öğle yemeğine gitmek için 4 saat harcarsa bir saatte kaç sayfa okur?","Eğer Juan öğle yemeği için ofise gitmek ve geri dönmek için 4 saat harcıyorsa, bu süre kitabı okumak için harcadığı sürenin yarısıdır. Yani kitabı okumak için harcadığı süre 8 saattir.

4000 sayfalık kitabı 8 saatte okuyorsa, saatte okuyabileceği sayfa sayısı şöyle hesaplanır:
4000 sayfa / 8 saat = 500 sayfa/saat

Juan bir saatte 500 sayfa okur.","{""type"": ""oran-orantı problemi"", ""explanation"": ""Bu soru, verilen süre bilgilerini ve oranları kullanarak bir değişkenin değerini bulmayı gerektirir. Juan'ın ofisten öğle yemeğine gitmek için harcadığı zaman ile kitabı okuma zamanı arasındaki oranı kullanarak bir saatte kaç sayfa okuduğunu bulmamız gerekiyor.""}"
Bir turta dükkanı bir dilim turta için 5 dolar alıyor. Her bir turtayı 4 dilime bölüyorlar. Turta dükkanı 9 turta satarsa ne kadar para kazanır?,"Turta dükkanı bir dilim turtayı 5 dolara satıyor ve her turtayı 4 dilime bölüyor. 9 turta satarlarsa, toplamda 9 turta × 4 dilim/turta = 36 dilim turta satmış olurlar. Her bir dilimin fiyatı 5 dolar olduğuna göre, dükkan toplamda 36 dilim × 5 dolar/dilim = 180 dolar kazanır.","{""type"": ""aritmetik problem"", ""explanation"": ""Bu soru, verilen birim fiyat ve miktarla ilgili matematiksel hesaplama yapmayı gerektirdiği için aritmetik bir problemdir. Soru, dilim başına fiyat, dilim sayısı ve toplam kazanç arasındaki ilişkiyi belirlemeyi içerir.""}"
"Sara Çin'deki arkadaşına her ay mektup gönderdi. Ocak ayında 6 mektup, Şubat ayında 9 mektup ve Mart ayında Ocak ayında gönderdiği mektup sayısının üç katını göndermiştir. Sara kaç mektup göndermiştir?","Sara Ocak ayında 6 mektup, Şubat ayında 9 mektup ve Mart ayında (Ocak ayında gönderdiği mektup sayısının üç katı) 18 mektup göndermiştir. Toplamda:

6 + 9 + 18 = 33 mektup göndermiştir.","{""type"": ""Problem çözme"", ""explanation"": ""Bu soru, toplamda gönderilen mektup sayısını bulmak amacıyla farklı aylarda gönderilen mektupların toplamını hesaplamayı gerektirir. Dolayısıyla, bir bilgiyi (toplam mektup sayısı) bulmak için verilen bilgileri bir araya getirerek problem çözme sürecini kullanmanızı gerektiriyor.""}"
