question,answer,question_type
"Bay Banks ve Bayan Elizabeth, farklı gelir akışlarına yatırım yapan ve yatırımlardan gelir elde eden girişimcilerdir. Bay Banks sekiz yatırımının her birinden 500 $ gelir elde etmiştir. Bayan Elizabeth de 5 yatırım akışının her birinden 900 $ almıştır. Bayan Elizabeth yatırımlarından Bay Banks'ten ne kadar daha fazla para kazanmıştır?","Bayan Elizabeth, Bay Banks'ten 1.100 $ daha fazla para kazanmıştır.","{""type"": ""aritmetik problem"", ""explanation"": ""Bu soru, verilen sayılara dayanarak toplama ve çarpma işlemleri yapmayı gerektirir. Belirtilen iki kişinin yatırım gelirleri hesaplanarak karşılaştırılacak ve aralarındaki fark bulunacaktır. Matematiksel işlemler yoluyla çözülmesi gereken bir aritmetik problemidir.""}"
John bir aylık köpek ödülü almaya karar verir.  Köpeğine günde 2 ödül maması veriyor ve bunların tanesi 1 dolar.  Bir ay 30 gün uzunluğundaysa ödül mamaları için ne kadar harcar?,"John, köpeğine günde 2 ödül maması veriyor ve bir tanesi 1 dolar. Bu durumda, günlük maliyet 2 dolar olur. Bir ay 30 gün olduğuna göre, toplam maliyet 30 gün * 2 dolar/gün = 60 dolar olacaktır.","{""type"": ""Aritmetik Problem"", ""explanation"": ""Bu soru, bir miktarın hesaplanmasını içeriyor. John'un köpeğine verdiği ödül mamalarının toplam maliyetini bulmak için günlük tane fiyatı, günlük verilen miktar ve gün sayısını kullanman gerekir. Bu tür sorular genelde basit matematiksel işlemler gerektiren aritmetik problemler olarak adlandırılır.""}"
"Wanda, kızını sabahları okula kadar 0,5 mil yürütüyor ve sonra eve 0,5 mil yürüyor.  Öğleden sonra okul çıkışı kızıyla buluştuğunda da bunu tekrarlıyor.  Haftada 5 gün okula yürüyorlar.  Wanda 4 hafta sonra kaç mil yürümüştür?","Wanda, sabah ve öğleden sonra toplam 1 mil yürür. Günde toplam 2 mil yürür. Haftada 5 gün olduğu için haftada 10 mil yürür. 4 haftada ise 4 * 10 = 40 mil yürümüştür.","{""type"": ""aritmetik problem"", ""explanation"": ""Bu soru, verilen sayı ve işlemlere dayalı basit aritmetik hesaplamalar gerektirir. Wanda'nın günlük, haftalık ve toplam dört haftalık yürüme mesafesini hesaplamak için toplama ve çarpma işlemleri yapılmalıdır.""}"
"Geri dönüştürdüğünüz her 12 kutu için 0,50 dolar ve her 5 kilogram gazete için 1,50 dolar alırsınız. Eğer aileniz 144 kutu ve 20 kilogram gazete toplasaydı, ne kadar para alırdınız?","144 kutu ve 20 kilogram gazete için toplam alacağınız para:

144 kutu / 12 kutu başına ödeme * 0,50 dolar = 12 * 0,50 = 6,00 dolar
20 kilogram gazete / 5 kilogram başına ödeme * 1,50 dolar = 4 * 1,50 = 6,00 dolar

Toplam: 6,00 dolar + 6,00 dolar = 12,00 dolar

Yani 12,00 dolar alırsınız.","{""type"": ""Uygulamalı Matematik Problemi"", ""explanation"": ""Bu soru, verilen miktarlar ve birim fiyatlar ile toplam kazancı bulmaya yönelik, gerçek hayattan bir senaryo sunan bir uygulamalı matematik problemidir. Verilen oranlar kullanılarak belirli miktarlardaki geri dönüştürülen malzemelerin para karşılıkları hesaplanmaktadır.""}"
"Lou Amca'ya 2 saatlik uçak yolculuğunda yemesi için dört torba yer fıstığı verildi.  Her torbada 30 yer fıstığı bulunmaktadır.  Uçuş sırasında tüm fıstıkları teker teker ve eşit aralıklarla yerse, her bir fıstığı yeme arasında geçen süre dakika cinsinden nedir?","Lou Amca'nın 2 saat (120 dakika) uçuşu boyunca 4 torba, yani toplamda 4 x 30 = 120 yer fıstığını yemesi gerekmektedir. Fıstıkları eşit aralıklarla yemesi gerektiğine göre, her bir fıstığı yeme arasında geçen süre:

120 dakika ÷ 120 fıstık = 1 dakika şeklinde olacaktır.","{""type"": ""Zaman Problemi"", ""explanation"": ""Bu soru, belirli bir süre içinde eşit aralıklarla gerçekleştirilen bir eylemi ilgilendiriyor. Toplam fıstık sayısı ve uçuş süresi bilinerek, her bir fıstığı yemesi için geçen sürenin dakika cinsinden hesaplanmasını gerektiren bir zaman problemidir.""}"
"Theresa, Julia'nın üç katından daha fazla video oyununa sahip. Julia, Tory'nin üçte biri kadar video oyununa sahip. Eğer Tory'nin 6 video oyunu varsa, Theresa'nın kaç video oyunu vardır?","Julia, Tory'nin üçte biri kadar video oyununa sahiptir, yani Julia 6 / 3 = 2 video oyununa sahiptir.

Teresa, Julia'nın üç katından daha fazla video oyununa sahiptir, yani Theresa 2 * 3 = 6 video oyunu sahiptir.

Bu durumda, Theresa'nın 6'dan fazla video oyunu vardır. Ancak net bir sayı belirtmek gerekmektedir. ""En az"" ifadesiyle Theresa'nın sahip olduğu minimum video oyun sayısı 6 + 1 = 7'dir.

Dolayısıyla, Theresa'nın 7 video oyunu vardır.","{""type"": ""problem çözme"", ""explanation"": ""Bu soru, verilen sayısal bilgileri kullanarak bir sonuca ulaşmayı gerektiren bir matematik problemidir. Veriler arasında ilişkiler kurup, Julia'nın ve dolayısıyla Theresa'nın sahip olduğu video oyunları sayısını bulmamız gerekiyor.""}"
Chloe düzinesi 50 dolardan çikolataya batırılmış çilek aldı. Daha sonra Anneler Günü kutlaması sırasında yarım düzinesini 30 dolardan sattı. Eğer 50 düzine sattıysa Chloe'nin karı ne kadardır?,"Chloe'nin karını hesaplamak için, ilk önce toplam gelirini ve toplam giderini bulmamız gerekiyor:

1. Chloe'nin alım maliyeti:
- Chloe, çikolataya batırılmış çilekleri 50 dolardan bir düzine aldı.
- 50 düzine için toplam alım maliyeti:
  50 düzine x 50 dolar/düzine = 2500 dolar

2. Chloe'nin satış geliri:
- Chloe, yarım düzinesini 30 dolardan sattı. Yarım düzine 0.5 düzine eder.
- 50 düzine satıldığı için toplam yarım düzine satış sayısı:
  50 düzine x 2 (her düzine 2 yarım düzine eder) = 100 yarım düzine
- Her yarım düzineyi 30 dolardan sattığı için toplam satış geliri:
  100 yarım düzine x 30 dolar/yarım düzine = 3000 dolar

3. Chloe'nin karı:
- Kar = Toplam satış geliri - Toplam alım maliyeti
  3000 dolar - 2500 dolar = 500 dolar

Chloe'nin karı 500 dolardır.","{""type"": ""problem solving"", ""explanation"": ""Bu soru, problemlere çözüm bulmayı ve matematiksel hesaplamalar yapmayı gerektiren bir problem çözme sorusudur. Burada, Chloe'nin yaptığı alış ve satış işlemlerinden elde ettiği kar hesaplanmaktadır.""}"
"Willy'nin 10 tane doldurulmuş hayvanı vardır. Annesi doğum günü için ona 2 pelüş hayvan daha veriyor. Doğum gününden sonra babası ona sahip olduğundan 3 kat daha fazla pelüş hayvan verirse, Willy'nin toplam kaç pelüş hayvanı olur?","Willy'nin başlangıçta 10 pelüş hayvanı var. Annesi ona 2 tane daha veriyor, bu yüzden hayvanlarının sayısı 12 oluyor. Babası ona bu sayının 3 katını verirse, babası 36 daha verir. Toplamda, Willy'nin 12 + 36 = 48 pelüş hayvanı olur.","{""type"": ""Problem Solving"", ""explanation"": ""Bu soru, verilen adımların takip edilerek çözüme ulaşılması gereken bir problem çözme sorusudur. Willy'nin mevcut pelüş hayvan sayısı, annesinin eklediği hayvanlar, ve ardından babasının verdiği daha fazla pelüş hayvanın hesaplanması gerekiyor. Bu adımları doğru şekilde uygulayıp toplam sayıyı bulmak, matematiksel düşünce ve yaygın problem çözme becerileri gerektirir.""}"
"Sara biriktirdiği parayla iki kitap satın aldı: 5,5£'a bir kitap ve 6,5£'a bir kitap. Satıcıya 20£'luk bir banknot veriyor. Geri ne kadar para üstü alır?","Sara 20£'luk bir banknot veriyor ve kitaplar için toplamda 12£ ödüyor (5,5£ + 6,5£). Bu durumda geriye 8£ para üstü alır.","{""type"": ""hesaplama problemleri"", ""explanation"": ""Bu soru, basit aritmetik işlemler ve para üstü hesaplaması gerektiren bir hesaplama problemidir. Sara'nın toplam harcaması ve aldığı para üstünü belirlemek için toplama ve çıkarma işlemleri yapılmaktadır.""}"
Bart bir karışık kaset yapar.  İlk yüzünde 6 şarkı vardır.  İkinci yüzünde 4 şarkı vardır.  Her şarkı 4 dakikadır.  Toplam kaset ne kadar uzun?,Toplam kaset 40 dakika uzunluğundadır.,"{""type"": ""Aritmetik Problemi"", ""explanation"": ""Bu soru, verilmiş sayıları toplama ve çarpma işlemleri yaparak toplam süreyi hesaplamayı gerektirir. Yani, toplamda kaç şarkı olduğunu (6+4=10) ve her bir şarkının süresi ile çarparak (10*4=40) toplam sürenin hesaplanmasını içerir. Bu, temel aritmetik kullanılmasını gerektiren bir matematik problemidir.""}"
Alex'in lunaparktaki en yeni hız trenine binebilmesi için 54 inç boyunda olması gerekiyor. Bu yıl 48 inç boyunda. Baş aşağı asılı kaldığı her saat için bir inçin 1/12'si kadar uzayabileceğine dair bir söylenti duyuyor. Normalde ayda 1/3 santim uzuyor. Gelecek yıl rollercoaster'a binebilecek kadar uzun olması için ortalama olarak her ay kaç saat baş aşağı asılması gerekir?,"Alex'in hız trenine binebilmesi için 54 inç boyunda olması gerekiyor. Şu anda 48 inç boyunda olduğuna göre, 54 - 48 = 6 inç uzaması gerekiyor.

Alex normalde ayda 1/3 santim (0.13 inç) uzuyor. Bir yıl boyunca 12 * 0.13 = 1.56 inç uzayacaktır.

Yine de, ihtiyaç duyduğu 6 inç eksi 1.56 inç = 4.44 inç daha uzaması gerekiyor ki bu miktarı baş aşağı asılarak sağlayabilir.

Baş aşağı asılı kaldığı her saat için 1/12 inç uzayabiliyor. 4.44 inç uzaması için 4.44 * 12 = 53.28 saat baş aşağı asılması gerekecektir.

Bunu aylık olarak bulmak için 53.28 saati 12 aya bölelim: 53.28 / 12 ≈ 4.44 saat.

Dolayısıyla, Alex'in gelecek yıl rollercoaster'a binebilmesi için ortalama olarak her ay yaklaşık 4.44 saat baş aşağı asılması gerekir.","{""type"": ""word problem"", ""explanation"": ""Bu soru, bir kişinin mevcut boyu ve gelecekte gereksinim duyulan boyu arasında bir bağlantı kurarak büyüme oranları ve aktiviteler arasındaki ilişkiyi çözmeyi gerektiriyor. Sayısal hız ve uzunluk ölçümlerini vererek, baş aşağı kalma süresi gibi bir değişkenin bu ölçümlere etkisini hesaplamamızı istiyor. Bu, aritmetik ve cebirsel hesaplamalar içeren bir kelime problemidir.""}"
"Kaydence'in ailesindeki kişilerin toplam yaşı 200'dür. Kaydence'in babası 60 yaşında, Kaydence'in annesi Kaydence'in babasından 2 yaş küçük, Kaydence'in erkek kardeşi Kaydence'in babasının 1/2 yaşında ve Kaydence'in kız kardeşi 40 yaşında ise, Kaydence kaç yaşındadır?","Toplam yaş: 200
Baba: 60
Anne: 60 - 2 = 58
Erkek kardeş: 60 / 2 = 30
Kız kardeş: 40

200 - (60 + 58 + 30 + 40) = Kaydence'in yaşı
200 - 188 = Kaydence'in yaşı
Kaydence'in yaşı = 12

Kaydence 12 yaşındadır.","{""type"": ""Algebra"", ""explanation"": ""Bu soru, bir denklem çözülerek ve verilen bilgilerden yararlanarak Kaydence'in yaşını bulmayı gerektirir. Verilen yaş bilgilerinin toplamını 200'e eşitleyerek, cebirsel bir ifade kurarız, ardından bu ifadeyi çözerek Kaydence'in yaşını belirleriz.""}"
"John, çeşitli ağırlıkları taşıyacak bir oyuncak köprü inşa eder.  İçinde 12 ons soda bulunan 6 kutu sodayı desteklemesi gerekiyor.  Kutular boş olarak 2 ons ağırlığındadır.  Daha sonra 2 boş kutu daha ekliyor.  Köprü ne kadar ağırlık taşımalıdır?","Köprü, toplam 92 ons ağırlık taşımalıdır.","{""type"": ""aritmetik problemi"", ""explanation"": ""Bu soru, toplama ve çarpma işlemlerini kullanarak toplam ağırlığı hesaplamayı gerektirir. Dolayısıyla, aritmetik problemleri kategorisine girer. Başka bir deyişle, verilen ağırlık bilgilerini kullanarak nihai toplam ağırlığı bulmamız gerekiyor.""}"
"Sylvia sınavda beşte bir oranında yanlış cevap verirken, Sergio 4 yanlış yapmıştır. Eğer 50 soru varsa, Sergio'nun Sylvia'dan kaç tane daha fazla doğru cevabı vardır?","Sylvia 50 sorudan %20'sini yanlış cevaplıyor, bu da 10 yanlış demek. Bu durumda Sylvia 40 doğru cevap veriyor.

Sergio'nun 4 yanlış cevabı var, bu da 46 doğru cevap verdiği anlamına geliyor.

Sergio, Sylvia'dan 6 soru daha fazla doğru cevap vermiştir.","{""type"": ""Aritmetik Problemi"", ""explanation"": ""Bu soru, verilen bilgiler doğrultusunda doğru ve yanlış cevap sayılarının karşılaştırılmasıyla ilgili basit aritmetik işlemler gerektiriyor. Bu tür sorunlar genelde oranlar, toplamlar ve farkların hesaplanmasını içerir.""}"
"Irene her gün küçük bir elmanın yarısını köpeğiyle paylaşıyor.  Küçük bir elma yaklaşık 1/4 pound ağırlığındadır.  Şu anda elmanın kilosunu 2,00$'a satın alabiliyor.  Kendisinin ve köpeğinin 2 hafta yetecek kadar elmaya sahip olması için ne kadar harcama yapacaktır?","Irene her gün küçük bir elmanın yarısını köpeğiyle paylaşıyor, yani elmanın yarısını kullanıyor. Küçük bir elma 1/4 pound olduğuna göre, Irene ve köpeği 1/8 pound (~0.125 pound) elma tüketiyorlar.

2 hafta 14 gündür.

Her gün 1/8 pound elma tüketildiğine göre, 14 gün için:
14 gün x 1/8 pound/gün = 1.75 pound elma gereklidir.

Elmanın kilosu 2.00$ olduğuna göre:
1.75 pound x 2.00$ = 3.50$ harcama yapacaktır.","{""type"": ""hesaplama"", ""explanation"": ""Bu soru, belirli bir süre boyunca günlük kullanılan miktarı ve birim fiyatı bilinen bir ürünün toplam maliyetini hesaplamayı gerektiren bir sorudur. Elmanın ağırlığı, günlük kullanım ve kilogram başına maliyeti biliniyor. Genellikle işlem matematiği ya da uygulamalı matematik soruları bu tip kategorilere girer.""}"
"John'un büyük bir su toplama tankı var.  Depo 200 galon alabiliyor.  Boş ağırlığı 80 pound.  Bir yağmur fırtınası depoyu kapasitesinin %80'ine kadar dolduruyor.  Bir galon su 8 pound ağırlığındaysa, şimdi kaç pound ağırlığındadır?","Depo kapasitesinin %80'i olan 160 galon su içeriyor (200 galon * 0.8). Bir galon su 8 pound ağırlığında olduğuna göre:

160 galon * 8 pound/galon = 1280 pound

Depo boşken 80 pound'du. Su ile birlikteki toplam ağırlığı:

1280 pound (su) + 80 pound (depo) = 1360 pound

Depo şimdi 1360 pound ağırlığındadır.","{""type"": ""aritmetik problem"", ""explanation"": ""Bu soru, bir dizi aritmetik hesaplama gerektiren bir problem türüdür. Belirli miktarlarda kapasite ve ağırlık bilgisi verir ve bu bilgileri kullanarak tankın toplam ağırlığını hesaplamanızı ister.""}"
"Kampta 2,000 çocuk var. Çocukların yarısı futbol kampına gidiyorsa ve futbol kampına giden çocukların 1/4'ü sabah futbol kampına gidiyorsa, öğleden sonra kaç çocuk futbol kampına gidiyor?","Kampta 2,000 çocuk var. Çocukların yarısı futbol kampına gidiyorsa bu, 1,000 çocuk demektir. Futbol kampına giden çocukların 1/4'ü sabah kampına gidiyorsa bu, 1,000 çocuğun 250'si demektir. Geriye kalan 750 çocuk öğleden sonra futbol kampına gidiyor.","{""type"": ""word problem"", ""explanation"": ""Bu soru bir kelime problemidir çünkü verilen bilgileri matematiksel bir ifade veya formüle dönüştürmemiz gerekmektedir. Soruda çocukların sayısı ve hangi kamp programlarına gittikleri gibi bilgiler veriliyor ve bu bilgileri kullanarak belirli bir sayı hesaplamamız isteniyor.""}"
"Emma bir akşam yemeği partisi planlıyor, bu yüzden ihtiyacı olan ürünleri almak için bir dükkana gitti. 8 kg peynir ve 7 kg sebze satın aldı. Bir kilogram peynir 4 dolar, bir kilogram sebze ise 2 dolar daha pahalıdır. Alışveriş için ne kadar ödemiştir?","Emma, 8 kg peynir ve 7 kg sebze için toplamda 53 dolar ödemiştir.","{""type"": ""hesaplama problemi"", ""explanation"": ""Bu soru, aritmetik işlemleri kullanarak toplam ödeme miktarını bulmayı gerektirir. Verilen birim fiyatlar ve ağırlıklar ile toplam maliyeti hesaplamak için çarpma ve toplama işlemleri yapılmalıdır.""}"
