question,answer,question_type
Borris tekel bayisi her 6 ayda bir 90 kilogram üzüm kullanıyor. Üretimini yüzde yirmi oranında artırmayı düşünüyor. Üretimini artırdıktan sonra bir yıl içinde kaç üzüme ihtiyacı olur?,"Borris şu anda her 6 ayda 90 kilogram üzüm kullanıyorsa, bir yılda 180 kilogram üzüm kullanıyor demektir. Üretimini yüzde 20 oranında artırırsa:

180 kilogram x 1.20 = 216 kilogram

Buna göre, üretimini artırdıktan sonra bir yıl içinde 216 kilogram üzüme ihtiyacı olacaktır.","{""type"": ""Oran orantı problemi"", ""explanation"": ""Bu soru, bir miktarın belirli bir oranda artırılmasıyla elde edilen yeni miktarı belirlemeyi içeriyor. Başlangıçta her 6 ayda bir 90 kilogram üzüm kullanılırken, bu kullanım yüzde 20 artırılacak. Oran orantı kullanarak, artış sonrası yeni yıllık üzüm ihtiyacını hesaplamak gerekiyor.""}"
"Mel, Katherine'den üç yaş küçük.  Katherine iki düzine yaşına geldiğinde Mel kaç yaşında olacak?","Katherine iki düzine yaşına geldiğinde 24 yaşında olacaktır. Mel ise Katherine'den üç yaş küçük olduğuna göre, Katherine 24 yaşındayken Mel 21 yaşında olacaktır.","{""type"": ""Aritmetik Problem"", ""explanation"": ""Bu soru iki kişinin yaşları arasındaki farkı ve bu yaş farkının gelecekte bir zamanda nasıl olacağını anlamayı gerektirmektedir. 'İki düzine' ifadesi matematiksel bir terim olan sayıyı ifade eder (2x12=24), bu yüzden bu soru aritmetik bir problemlidir.""}"
James 2 ağacındaki tüm meyveleri toplar.  Her ağaçta 20 bitki var.  Her bitkinin 1 tohumu var ve bunların %60'ını ekiyor.  Kaç ağaç dikmiştir?,James 24 ağaç dikmiştir.,"{""type"": ""problem solving"", ""explanation"": ""Bu soru, verilen bilgileri kullanarak mantıksal ve matematiksel hesaplamalar yapmayı gerektirir. James'in iki ağacındaki bitkilerden elde ettiği tohumların belirli bir yüzdesini ekiyor ve kaç ağaç dikeceğini bu hesaplamalarla bulmanız isteniyor.""}"
"Kyle, her biri 15 origami yıldızı alabilen 2 cam şişe satın aldı. Daha sonra 3 tane daha aynı cam şişeden satın aldı. Kyle, satın aldığı tüm cam şişeleri doldurmak için kaç yıldız yapmalıdır?","Kyle toplamda 5 cam şişe satın aldı (2 + 3). Her şişe 15 yıldız alabiliyor, bu yüzden 5 şişe için toplam:

5 şişe * 15 yıldız/şişe = 75 yıldız

Kyle tüm şişeleri doldurmak için 75 yıldız yapmalıdır.","{""type"": ""Arithmetic Problem"", ""explanation"": ""Bu soru, bir toplam problemidir ve belirli sayıda öğeyi gruplara yerleştirme hakkında sayı hesaplamayı gerektirir. İlk olarak, Kyle'ın sahip olduğu şişe sayısını ve bu şişelerin her birinin kapasitesini bilmemiz gerek. İlk olarak, Kyle 2 şişe alıyor, ardından 3 tane daha satın alıyor ve her şişe 15 yıldız kapasitesine sahip olduğu için toplamda kaç yıldız gerektiğini hesaplamamız gerekiyor. Bu, temel aritmetik hesaplamaların yapıldığı bir problem türüdür.""}"
"Mark'ın iki evcil hayvanı var: Saniyede 10 adım koşan bir tavşan ve saniyede 1 adım sürünen bir kaplumbağa. Eğer 20 adımlık bir yarış yapacaklarsa, kaplumbağanın yarışı berabere bitirmesi için (saniye cinsinden) ne kadar önde başlaması gerekir?",Kaplumbağanın yarışı berabere bitirmesi için 18 saniye önde başlaması gerekir.,"{""type"": ""Hız/Zaman Problemleri"", ""explanation"": ""Bu soru, iki hareket halindeki nesnenin hızlarına ve belirli bir mesafeyi kat etmeleri için gereken sürelere dayanarak, birinin ne kadar süre önde başlaması gerektiğini hesaplamayı gerektiriyor. Sorunun çözümü, hareket problemleri ve hız-zaman ilişkileri konusundadır.""}"
"Sinema biletlerinin tanesi Pazartesi günü 5 dolar, Çarşamba günü iki katı, Cumartesi günü ise Pazartesi gününün beş katıdır. Glenn Çarşamba ve Cumartesi günleri sinemaya giderse ne kadar harcar?","Glenn Çarşamba günü 10 dolar, Cumartesi günü ise 25 dolar harcar. Toplamda 35 dolar harcar.","{""type"": ""aritmetik problemleri"", ""explanation"": ""Bu soru, çeşitli günlerde sinema biletlerinin fiyatları arasındaki ilişkileri kullanarak, Glenn'in toplam harcamasını hesaplamayı gerektirir. Sorudaki matematiksel işlemler ve ilişkiler, verilen fiyatların doğru şekilde çarpılması ve toplanmasını içerir. Bu, miktar hesaplamaya dayalı bir aritmetik problemidir.""}"
"Conner'ın çölde sürdüğü bir kumul arabası var.  Düz kumda saatte 60 mil hızla gidebiliyor.  Yokuş aşağı inerken, düz kumda olduğundan saatte 12 mil daha hızlı yarışabiliyor.  Ve yokuş yukarı eğimli bir yolda yavaşça ilerlerken, düz kumda ilerlediğinden saatte 18 mil daha yavaş bir hızla ilerler.  Conner kumul arabasını üçte bir oranında düz kumda, üçte bir oranında yokuş yukarı ve üçte bir oranında yokuş aşağı sürüyorsa, saatte mil cinsinden ortalama hızı nedir?","Conner'ın düz kumda hızı 60 mil/saat.
Yokuş aşağı hızı: 60 + 12 = 72 mil/saat.
Yokuş yukarı hızı: 60 - 18 = 42 mil/saat.

Conner, kumul arabasını üçte bir oranında her bir tür yüzeyde sürüyor. Dolayısıyla, ortalama hızı:
(60 + 72 + 42) / 3 = 174 / 3 = 58 mil/saat.","{""type"": ""Ortalama Problemi"", ""explanation"": ""Bu sorun Conner'ın farklı koşullardaki hızlarını dikkate alarak ortalama hızını bulmaya yönelik bir problem sunuyor. Her bir durumu analiz ederek ortalama hız hesaplanır.""}"
Bir mağaza her hafta 100 gramlık 20 paket şeker satıyor. Her hafta kaç kilogram şeker satıyor?,2 kilogram şeker satıyor.,"{""type"": ""aritmetik problem"", ""explanation"": ""Bu soru, temel aritmetik işlemleri kullanarak bir toplam miktarın hesaplanmasını gerektiriyor. 100 gramlık paketlerin sayısına ve gramdan kilograma dönüştürmeye dayalı bir problem.""}"
James arabasını değiştirmeye karar verir.  20.000 $'lık arabasını değerinin %80'ine sattı ve daha sonra pazarlık yaparak 30.000 $'lık etiket fiyatlı bir arabayı değerinin %90'ına satın alabildi.  Cebinden ne kadar çıktı?,"James arabasını 20.000 $'ın %80'ine, yani 16.000 $'a satmıştır. Yeni arabayı ise etiket fiyatının %90'ına, yani 30.000 $'ın %90'ı olan 27.000 $'a satın almıştır. Sonuç olarak, cebinden çıkan miktar:

27.000 $ - 16.000 $ = 11.000 $

James'in cebinden 11.000 $ çıkmıştır.","{""type"": ""problem solving"", ""explanation"": ""Bu soru bir kişi için satış ve alış işlemlerinin sonrasında cebinden ne kadar para çıkacağını hesaplama üzerine kurulmuş bir problem çözme sorusudur. Yüzde hesaplamaları ve basit aritmetik kullanarak sonucu bulmamızı gerektirir.""}"
"Simon, Anneler Günü için annesinin dikebileceği çiçeklerden almak istedi.  Bahçe merkezi tüm alışverişlerde %10 indirim yapıyordu.  Her biri 2,50$ olan 5 hercai menekşe, 12,50$ olan bir ortanca ve her biri 1,00$ olan 5 petunya aldı.  Eğer 50$'lık bir banknotla ödeme yapsaydı, Simon alışverişinden ne kadar bozuk para geri alırdı?","İlk olarak, Simon'un aldığı çiçeklerin toplam maliyetini hesaplayalım:

- 5 hercai menekşe: 5 * 2,50$ = 12,50$
- 1 ortanca: 12,50$
- 5 petunya: 5 * 1,00$ = 5,00$

Bu miktarları topladığımızda, çiçeklerin toplam maliyeti:
12,50$ + 12,50$ + 5,00$ = 30,00$

Bahçe merkezi %10 indirim yaptığına göre, indirimi hesaplayalım:
30,00$ * 0,10 = 3,00$

İndirimi çıkardığımızda toplam ödenecek miktar:
30,00$ - 3,00$ = 27,00$

Simon 50$'lık banknotla ödeme yaptığı için, geri alacağı bozuk para:
50,00$ - 27,00$ = 23,00$

Simon alışverişinden 23,00$ bozuk para geri alır.","{""type"": ""word problem"", ""explanation"": ""Bu soru, verilen çeşitli fiyatlar ve bir indirim yüzdesi kullanarak toplam alışveriş maliyetini hesaplamayı gerektirir. Ardından, ödeme olarak verilen bir toplamdan bu maliyet çıkarılarak ne kadar para üstü alınacağı belirlenir. Dolayısıyla, matematiksel hesaplamalar ve kavramsal düşünme gerektiren bir sözel problemdir.""}"
"Yaşları 6 ve 10 olan iki çocuklu bir çift, bir eğlence parkına gitmeye karar verir. Normal bilet 109$, ancak 12 yaşından küçük çocuklar için 5$ indirim var. Kasiyere 500 dolar verirlerse, ne kadar para üstü alırlar?","Normal bilet fiyatı 109$ ve 12 yaşından küçük çocuklar 5$ indirimle bilet alıyorlar, yani onların bilet fiyatları 104$ olacak.

Toplam bilet masrafı şu şekilde hesaplanır:
- Ebeveyn bileti: 109$ x 2 = 218$
- Çocuk bileti: 104$ x 2 = 208$

Toplam bilet maliyeti:
218$ + 208$ = 426$

500$-426$= 74$

Bu durumda para üstü 74$ olur.","{""type"": ""Hesaplama Problemi"", ""explanation"": ""Bu soru, verilen fiyatlar ve indirimlerle toplam bilet fiyatlarını hesaplamayı ve ardından verilen paradan bu toplamı çıkararak para üstünü bulmayı gerektiriyor. Basit matematiksel işlemlerle çözülmesi gereken bir sorudur.""}"
"Kennedy'nin evi Benedict'in evinin 4 katından 600 feet kare daha büyüktür. Kennedy'nin evi 10000 feet kare ise, Benedict'in evi kaç feet karedir?","Kennedy'nin evi, Benedict'in evinin 4 katından 600 feet kare daha büyük ve Kennedy'nin evi 10000 feet kare olduğuna göre:

4B + 600 = 10000

Bu denklemden, 4B = 9400 çıkar.

Benedict'in evinin büyüklüğünü bulmak için:

B = 9400 / 4
B = 2350 feet kare.

Benedict'in evi 2350 feet kare büyüklüğündedir.","{""type"": ""algebra"", ""explanation"": ""Bu soru bir denklem kurarak çözülmesi gereken bir cebir problemidir. İki evin alanları arasındaki ilişkiyi temsil eden bir denklem kurarak, bilinmeyen bir değerin (Benedict'in evi) bulunması gerekmektedir.""}"
"Loraine hayvanların balmumu heykellerini yapıyor. Büyük hayvanlar dört çubuk balmumu, küçük hayvanlar ise iki çubuk balmumu alıyor. Büyük hayvanların üç katı kadar küçük hayvan yaptı ve küçük hayvanlar için 12 çubuk balmumu kullandı. Loraine tüm hayvanları yapmak için kaç çubuk balmumu kullanmıştır?","Loraine, küçük hayvanlar için 12 çubuk balmumu kullanmış ve her küçük hayvan 2 çubuk balmumu aldığına göre, 12 / 2 = 6 küçük hayvan yapmıştır.

Büyük hayvanların sayısı, küçük hayvan sayısının üçte biri kadar olduğundan:
6 / 3 = 2 büyük hayvan yapmıştır.

Büyük hayvanlar için 4 çubuk balmumu gerektiğinden:
2 büyük hayvan * 4 çubuk = 8 çubuk balmumu kullanılmıştır.

Toplam balmumu miktarı:
Küçük hayvanlar için 12 çubuk + Büyük hayvanlar için 8 çubuk = 20 çubuk balmumu.

Sonuç olarak, Loraine tüm hayvanları yapmak için 20 çubuk balmumu kullanmıştır.","{""type"": ""algebraik problem"", ""explanation"": ""Bu soru, bilinmeyen bir değişkeni bulmak için verilen bilgileri kullanmayı içerir. Verilen, küçük hayvanlar için toplam 12 çubuk balmumu kullanıldığı ve her küçük hayvanın 2 çubuk balmumu aldığıdır. Bu, küçük hayvanların sayısını hesaplamamıza olanak tanır. Daha sonra küçük hayvanların sayısını büyük hayvanların sayısıyla ilişkilendiririz ve toplamda ne kadar balmumu kullanıldığını bulmak için her iki tür hayvan için de kullanılan balmumunu toplarız. Bu nedenle, problem cebirsel bir yaklaşımla çözülür.""}"
