question,answer,question_type
"Jacob s'mores yapıyor. Her s'more için iki graham krakeri ve bir marshmallow gerekiyor. Jacob'ın 48 graham krakeri ve 6 marshmallow'u varsa, kaç tane daha marshmallow alması gerekir?","Jacob'ın 48 graham krakeri ve 6 marshmallow'u varsa, şu anda en fazla 6 s'more yapabilir çünkü sınırlayıcı faktör marshmallow sayısıdır. 48 graham krakerle toplamda 24 s'more yapabilir. Bu, 24 s'more yapmak için 24 marshmallow'a ihtiyacı olduğu anlamına gelir. Halihazırda 6 marshmallow'u olduğuna göre, 24 marshmallow'a ulaşmak için 18 marshmallow daha alması gerekir.","{""type"": ""word problem"", ""explanation"": ""Bu soru, günlük hayat senaryosu ve belirli bir durumu matematiksel olarak modellemeyi ve çözmeyi gerektiriyor. Burada, verilen graham krakeri ve marshmallow sayıları kullanılarak kaç s'more yapılabileceği ve marshmallow sayısının yeterli olup olmadığını belirlemek gerekiyor.""}"
Bir otoparkta arabalar ve motosikletler var.  Her arabanın 5 tekerleği (bir yedek dahil) ve her motosikletin 2 tekerleği vardır. Otoparkta 19 araba bulunmaktadır. Tüm araçların toplam 117 tekerleği vardır. Otoparkta kaç tane motosiklet vardır?,Otoparkta 14 motosiklet bulunmaktadır.,"{""type"": ""linear equation"", ""explanation"": ""Bu soru, verilen koşullara dayanarak bilinmeyen bir değeri bulmak için cebirsel ifadeler ve denklemler kullanmayı gerektirir. Otoparktaki araba ve motosiklet sayısını tekerlek sayıları ile ilişkilendiren bir denklem kurarak çözebiliriz.""}"
"Bir nehir kenarında bulunan bir tepenin tabanı deniz tabanından 300 m yüksekliktedir. Bu derinlik nehir yatağı ile tepenin zirvesi arasındaki dikey mesafenin dörtte biri ise, tepe ne kadar yüksektir?","Tepe, deniz tabanından 300 metre yüksekliğinde ise ve bu yükseklik tepenin zirvesine kadar olan dikey mesafenin dörtte birine eşitse:

Tepenin yüksekliği = 4 * 300 m = 1200 m

Tepe 1200 metre yüksekliğindedir.","{""type"": ""geometrik problem"", ""explanation"": ""Bu soru, coğrafi şekiller ve yüksekliklerle ilgili bir hesaplama içerdiğinden dolayı geometri, özellikle de dikey mesafeler konusunu kapsayan bir problemdir.""}"
John 2 saatte 150 mil yol alıyor.  Hız sınırı 60 mph'dir.  Hız sınırının kaç mil üzerinde gidiyordu?,"John'un ortalama hızı 75 mil/saat (150 mil / 2 saat). Hız sınırı 60 mil/saat olduğuna göre, John hız sınırının 15 mil/saat üzerinde gidiyordu.","{""type"": ""problem solving"", ""explanation"": ""Bu soru, hız ve zaman ilişkisini kullanarak problemi çözüp, John'un hız sınırını ne kadar aştığını hesaplamayı gerektirir. Dolayısıyla, matematiksel analiz ve problem çözme yetenekleri test edilmektedir.""}"
Raine'in evi okuluna sadece yürüme mesafesinde. Okula yürümek için 150 adım atması gerekiyor. Beş günde okula yürüyerek gidip gelirken kaç adım atıyor?,"Raine, okula yürüyerek gidip gelmek için toplam 2 x 150 = 300 adım atar. Beş günde toplam:
5 x 300 = 1500 adım atar.","{""type"": ""aritmetik problem"", ""explanation"": ""Bu soru, toplam adım sayısını bulmak için basit bir çarpma ve toplama işlemi gerektirdiğinden bir aritmetik problemidir. Raine'in gidiş-dönüş için attığı adım sayısı her gün için hesaplanır ve bu miktar beş gün ile çarpılır.""}"
"Ian kazandığı paranın yarısını online anketlere harcadı. Anketler için 8 saat çalıştıysa ve ortalama olarak anketlerden saatte 18 dolar kazanabiliyorsa, geriye ne kadar parası kalmıştır?","Ian, anketlerden saatte 18 dolar kazanarak 8 saat çalışmıştır. Bu durumda, toplam kazancı:

18 dolar/saat * 8 saat = 144 dolar

Ian bu paranın yarısını online anketlere harcadığına göre, harcadığı miktar:

144 dolar / 2 = 72 dolar

Geriye kalan para miktarı:

144 dolar - 72 dolar = 72 dolar

Dolayısıyla, Ian'ın geriye 72 doları kalmıştır.","{""type"": ""problem çözme"", ""explanation"": ""Bu soru, Ian'ın toplam kazancını bulmayı ve onun yarısını masraflar olarak çıkararak geriye kalan miktarı hesaplamayı gerektiren bir problem çözme sorusudur.""}"
"Joan 480 mil uzakta yaşayan ailesini ziyaret etmek istiyor.  Saatte 60 mil hızla giderse ve 30 dakika süren bir öğle yemeği molası ve 15'er dakika süren 2 tuvalet molası verirse, oraya varması kaç saat sürer?",Joan'ın ailesine varması 9 saat sürer.,"{""type"": ""hareket problemi"", ""explanation"": ""Bu soru, bir cismin belirli bir hızda belirli bir mesafeyi katetmesinin ne kadar süreceğini, verilen duraklamalarla birleştirerek hesaplayan bir harekete dayalı problem örneğidir.""}"
"John 20 metrelik bir kütük alır ve onu ikiye böler.  Kütüğün her bir doğrusal ayağı 150 pound ağırlığındaysa, kesilen her bir parçanın ağırlığı ne kadardır?",Her bir parça 150 pound ağırlığındadır.,"{""type"": ""aritmetik problem"", ""explanation"": ""Bu soru, bir toplam ağırlığın belirli bir bölünme sonucu nasıl dağıtılacağını hesaplamayı gerektiriyor. Toplam ağırlık, kütüğün toplam uzunluğu ile her metrenin ağırlığının çarpılmasıyla bulunur ve daha sonra bu ağırlık, oluşan parça sayısına (bu durumda iki parçaya) bölünerek her parçanın ağırlığı hesaplanır. Dolayısıyla bu bir aritmetik problemdir.""}"
"Juanita ayda 1 şişe güneş kremi tüketiyor.  Belirli bir web sitesi tüm alışverişinde %30 indirim sunduğunda tüm yıl için stok yapmayı seviyor.  Her bir şişe 30,00 $ ise, indirimden sonra tüm güneş kreminin fiyatı ne kadar olacaktır?","Her bir şişe 30,00 $ iken, %30 indirimli fiyatı 30,00 $ x 0,70 = 21,00 $ olacaktır.

Juanita, tüm yıl için 12 şişe almak istiyor. Bu durumda, toplam maliyeti 12 x 21,00 $ = 252,00 $ olacaktır.","{""type"": ""finance problem"", ""explanation"": ""Bu soru, belirli bir finansal durumla ilgili bir hesaplama gerektiren bir senaryo sunuyor. Juanita'nın tüm yıl için güneş kremi stoklaması ve sunulan %30'luk indirimi göz önünde bulundurarak yeni toplam maliyeti hesaplamayı gerektiriyor. Bu, indirim sonrası toplam maliyetin hesaplandığı bir para problemini temsil ediyor.""}"
"Michael, en alt kata doğru yavaşça ilerleyen bir asansörde sıkışıp kalmıştır. Asansörün en alt kata ulaşması için 20 kat aşağı inmesi gerekmektedir. Asansörün katların ilk yarısını inmesi 15 dakika sürer. Asansörün sonraki 5 katı inmesi her kat için 5 dakika sürer. Asansörün son 5 kata inmesi kat başına 16 dakika sürüyor. Saat cinsinden, asansörün en alta ulaşması ne kadar sürmüştür?","Asansörün en alt kata ulaşması toplamda şu kadar süre alır:

- İlk yarısı (10 kat): 15 dakika
- Sonraki 5 kat: 5 dakika x 5 kat = 25 dakika
- Son 5 kat: 16 dakika x 5 kat = 80 dakika

Toplam süre:
15 + 25 + 80 = 120 dakika

Saat cinsinden bu süre:
120 dakika / 60 dakika/saat = 2 saat

Yani, asansörün en alt kata ulaşması 2 saat sürmüştür.","{""type"": ""problem çözme"", ""explanation"": ""Bu soru, verilen bilgilerle asansörün en alta ulaşması için gereken süreyi hesaplamayı gerektirir. Farklı süreler ve kat sayıları ile ilgili işlem yapılması gerektiği için bir problem çözme sorusudur.""}"
